"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Particuliere huishoudens/Particuliere huishoudens/Totaal aantal particuliere huishoudens (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (personen per 1 huishouden)";"Bouwen en wonen/Woningvoorraad/Woningen naar eigendom/Koopwoningen (%)";"Landbouw/Graasdieren/Rundvee (aantal)"
"2020";"Aa en Hunze";25445;11160;2,23;74,6;13589
"2020";"Aalburg";;;;;
"2020";"Aalsmeer";31859;13182;2,39;64,7;86
"2020";"Aalten";27121;11513;2,31;71,1;13882
"2020";"Ter Aar";;;;;
"2020";"Aarle-Rixtel";;;;;
"2020";"Abcoude";;;;;
"2020";"Achtkarspelen";27843;11757;2,35;63,8;15863
"2020";"Akersloot";;;;;
"2020";"Alblasserdam";20165;8236;2,43;61;266
"2020";"Albrandswaard";25590;10508;2,4;69,1;140
"2020";"Alkemade";;;;;
"2020";"Alkmaar";109436;52179;2,08;58,5;9923
"2020";"Almelo";73107;32714;2,19;54,6;6764
"2020";"Almere";211893;89319;2,35;63,9;1104
"2020";"Alphen aan den Rijn";111897;48720;2,27;63,4;13133
"2020";"Alphen en Riel";;;;;
"2020";"Alphen-Chaam";10203;4222;2,39;76;15665
"2020";"Altena";55967;22357;2,47;68,6;15591
"2020";"Ambt Delden";;;;;
"2020";"Ambt Montfort";;;;;
"2020";"Ameland";3716;1732;2,13;67,8;2366
"2020";"Amerongen";;;;;
"2020";"Amersfoort";157276;69226;2,24;58,4;4545
"2020";"Ammerzoden";;;;;
"2020";"Amstelveen";91675;43485;2,09;46,8;1378
"2020";"Amsterdam";872757;475368;1,81;29,4;2710
"2020";"Andijk";;;;;
"2020";"Angerlo";;;;;
"2020";"Anloo";;;;;
"2020";"Anna Paulowna";;;;;
"2020";"Apeldoorn";163818;73518;2,17;60,2;38331
"2020";"Appingedam";11642;5528;2,06;48,2;3368
"2020";"Arcen en Velden";;;;;
"2020";"Arnemuiden";;;;;
"2020";"Arnhem";161348;81399;1,94;43,5;1934
"2020";"Assen";68599;31371;2,12;58,8;3108
"2020";"Asten";16721;7159;2,3;71;16491
"2020";"Avereest";;;;;
"2020";"Axel";;;;;
"2020";"Baarle-Nassau";6859;3076;2,21;69,7;48397
"2020";"Baarn";24868;11099;2,14;61,2;1351
"2020";"Bakel en Milheeze";;;;;
"2020";"Barendrecht";48714;19273;2,5;69,6;0
"2020";"Barneveld";59082;22392;2,61;67,6;136310
"2020";"Bathmen";;;;;
"2020";"Bedum";;;;;
"2020";"Beek (L.)";15865;7320;2,15;69,8;1280
"2020";"Beek en Donk";;;;;
"2020";"Beekdaelen";35938;16181;2,18;72,9;3150
"2020";"Beemster";10022;4041;2,43;75,9;10153
"2020";"Beesel";13482;5895;2,27;67,7;1148
"2020";"Beilen";;;;;
"2020";"Belfeld";;;;;
"2020";"Bellingwedde";;;;;
"2020";"Bemmel";;;;;
"2020";"Bennebroek";;;;;
"2020";"Berg en Dal";34992;15785;2,16;61;5559
"2020";"Bergambacht";;;;;
"2020";"Bergeijk";18635;7863;2,35;77,8;11337
"2020";"Bergen (L.)";13085;5650;2,29;70,5;4911
"2020";"Bergen (NH.)";29839;13836;2,09;67;3239
"2020";"Bergen op Zoom";67496;30447;2,17;58,6;3075
"2020";"Bergeyk";;;;;
"2020";"Bergh";;;;;
"2020";"Bergschenhoek";;;;;
"2020";"Berkel en Rodenrijs";;;;;
"2020";"Berkel-Enschot";;;;;
"2020";"Berkelland";43747;18830;2,29;68,1;48837
"2020";"Berlicum";;;;;
"2020";"Bernheze";31240;12646;2,43;71,6;15858
"2020";"Bernisse";;;;;
"2020";"Best";29988;12839;2,33;71,6;3174
"2020";"Beuningen";25890;11209;2,3;69,6;5347
"2020";"Beverwijk";41626;19072;2,16;55;404
"2020";"het Bildt";;;;;
"2020";"De Bilt";43137;19259;2,2;60,4;5660
"2020";"Binnenmaas";;;;;
"2020";"Bladel";20390;8650;2,33;74,7;7194
"2020";"Bladel en Netersel";;;;;
"2020";"Blaricum";11540;4944;2,32;69,2;94
"2020";"Bleiswijk";;;;;
"2020";"Bloemendaal";23571;9765;2,34;70,8;190
"2020";"Boarnsterhim";;;;;
"2020";"Bodegraven";;;;;
"2020";"Bodegraven-Reeuwijk";34872;14359;2,41;71,8;12313
"2020";"Boekel";10785;4170;2,52;74,8;6670
"2020";"Ten Boer";;;;;
"2020";"Bolsward";;;;;
"2020";"Borculo";;;;;
"2020";"Borger";;;;;
"2020";"Borger-Odoorn";25559;11232;2,25;73,8;9789
"2020";"Born";;;;;
"2020";"Borne";23312;9738;2,36;69,4;5861
"2020";"Borsele";22739;9505;2,37;74;2517
"2020";"Boskoop";;;;;
"2020";"Boxmeer";29365;12515;2,28;68,4;9509
"2020";"Boxtel";30801;13607;2,22;61,1;6698
"2020";"Brakel";;;;;
"2020";"Breda";184069;88351;2,05;55,2;4660
"2020";"Brederwiede";;;;;
"2020";"Breukelen";;;;;
"2020";"Brielle";17271;7795;2,18;66,2;628
"2020";"Broekhuizen";;;;;
"2020";"Bronckhorst";36055;15479;2,3;70,5;41818
"2020";"Brouwershaven";;;;;
"2020";"Bruinisse";;;;;
"2020";"Brummen";20726;9036;2,25;62;10861
"2020";"Brunssum";27821;13580;2,02;60,9;186
"2020";"Budel";;;;;
"2020";"Bunnik";15191;6433;2,34;75,1;6988
"2020";"Bunschoten";21866;8370;2,58;74,7;6098
"2020";"Buren";26749;11053;2,41;74,6;16175
"2020";"Bussum";;;;;
"2020";"Capelle aan den IJssel";67122;31343;2,12;53,8;17
"2020";"Castricum";35986;15778;2,25;75,1;3113
"2020";"Chaam";;;;;
"2020";"Coevorden";35297;15501;2,23;69,3;31399
"2020";"Cothen";;;;;
"2020";"Cranendonck";21138;8896;2,27;73,6;7010
"2020";"Cromstrijen";;;;;
"2020";"Cuijk";25130;11024;2,25;62,9;7864
"2020";"Culemborg";28955;12614;2,27;63,3;2169
"2020";"Dalen";;;;;
"2020";"Dalfsen";28587;11609;2,44;74,5;44604
"2020";"Dantumadeel";;;;;
"2020";"Dantumadiel";18922;7782;2,38;62,8;14573
"2020";"Delft";103595;58852;1,74;37,9;414
"2020";"Delfzijl";24678;11591;2,07;61;10535
"2020";"Denekamp";;;;;
"2020";"Deurne";32471;13764;2,31;66,2;23914
"2020";"Deventer";100719;46648;2,12;55,2;17366
"2020";"Didam";;;;;
"2020";"Diemen";30780;15640;1,95;40,8;30
"2020";"Diepenheim";;;;;
"2020";"Diepenveen";;;;;
"2020";"Diessen";;;;;
"2020";"Diever";;;;;
"2020";"Dinkelland";26461;10361;2,51;73,9;38675
"2020";"Dinteloord en Prinsenland";;;;;
"2020";"Dinxperlo";;;;;
"2020";"Dirksland";;;;;
"2020";"Dodewaard";;;;;
"2020";"Doesburg";11077;5223;2,1;52,7;904
"2020";"Doetinchem";58001;25891;2,19;59,7;7184
"2020";"Domburg";;;;;
"2020";"Dongen";26222;11164;2,31;70,7;4025
"2020";"Dongeradeel";;;;;
"2020";"Doorn";;;;;
"2020";"Dordrecht";119284;55014;2,13;57,8;332
"2020";"Drechterland";19719;8201;2,38;73,7;5823
"2020";"Driebergen-Rijsenburg";;;;;
"2020";"Drimmelen";27272;11633;2,3;71,5;7276
"2020";"Dronten";41555;17532;2,32;66,6;19213
"2020";"Drunen";;;;;
"2020";"Druten";18926;7880;2,34;64,5;4475
"2020";"Duiveland";;;;;
"2020";"Duiven";25126;10664;2,34;66,8;1571
"2020";"Den Dungen";;;;;
"2020";"Dussen";;;;;
"2020";"Dwingeloo";;;;;
"2020";"Echt";;;;;
"2020";"Echteld";;;;;
"2020";"Echt-Susteren";31610;14195;2,16;70,5;6551
"2020";"Edam-Volendam";36197;14854;2,42;77,6;6181
"2020";"Ede";117165;49444;2,34;65,7;146497
"2020";"Eelde";;;;;
"2020";"Eemnes";9247;3958;2,32;71,2;2498
"2020";"Eemsmond";;;;;
"2020";"Eersel";19313;8118;2,32;73,3;10761
"2020";"Egmond";;;;;
"2020";"Eibergen";;;;;
"2020";"Eijsden";;;;;
"2020";"Eijsden-Margraten";25768;11078;2,29;76,5;7378
"2020";"Eindhoven";234394;120980;1,92;44,5;315
"2020";"Elburg";23161;9128;2,49;64,8;8021
"2020";"Elst";;;;;
"2020";"Emmen";107048;48631;2,16;62,1;17077
"2020";"Enkhuizen";18591;8622;2,12;60,7;476
"2020";"Enschede";159640;79459;1,97;48,5;7682
"2020";"Epe";33178;14212;2,3;64,7;28646
"2020";"Ermelo";27008;11291;2,28;62,6;24458
"2020";"Esch";;;;;
"2020";"Etten-Leur";43878;18881;2,3;64,1;4725
"2020";"Ferwerderadeel";;;;;
"2020";"Ferwerderadiel";;;;;
"2020";"Fijnaart en Heijningen";;;;;
"2020";"Franekeradeel";;;;;
"2020";"De Friese Meren";;;;;
"2020";"De Fryske Marren";51564;22230;2,29;69,1;72381
"2020";"Gaasterlân-Sleat";;;;;
"2020";"Gasselte";;;;;
"2020";"Geertruidenberg";21544;9385;2,26;62,7;2552
"2020";"Geldermalsen";;;;;
"2020";"Geldrop";;;;;
"2020";"Geldrop-Mierlo";39726;17747;2,22;65,8;1624
"2020";"Geleen";;;;;
"2020";"Gemert";;;;;
"2020";"Gemert-Bakel";30723;13056;2,34;67,8;22771
"2020";"Gendringen";;;;;
"2020";"Gendt";;;;;
"2020";"Genemuiden";;;;;
"2020";"Gennep";16921;7231;2,24;66,2;2131
"2020";"Giessenlanden";;;;;
"2020";"Gieten";;;;;
"2020";"Gilze en Rijen";26431;11200;2,31;64;8876
"2020";"Goedereede";;;;;
"2020";"Goeree-Overflakkee";50049;21138;2,32;64,1;7563
"2020";"Goes";38082;17776;2,1;59,5;1754
"2020";"Goirle";23904;10192;2,31;70,8;9014
